,STATION,geo,CensusTract
0,1 AV,"(40.6508606878022, -73.94945514035334)",36047081800
1,103 ST,"(40.76008683231326, -73.9752485052734)",36061010200
2,103 ST-CORONA,"(40.76008683231326, -73.9752485052734)",36061010200
3,104 ST,"(40.84386300128381, -73.83632199755944)",36005026602
4,110 ST,"(40.617397744443736, -73.9592431052215)",36047076800
5,111 ST,"(40.7564420005104, -73.929861999118)",36081005100
6,116 ST,"(40.71157600064823, -73.94049699874644)",36047049500
7,116 ST-COLUMBIA,"(40.73097497580066, -73.98168087489128)",36061003400
8,121 ST,"(40.59294299908617, -73.77601299999507)",36081097202
9,125 ST,"(40.755983000570076, -73.98622899953202)",36061011900
10,135 ST,"(40.71277400073426, -73.9514239994525)",36047051300
11,137 ST CITY COL,"(40.71717399858899, -73.95666499806525)",36047055300
12,138/GRAND CONC,"(40.858984999820116, -73.85535900043564)",36005032600
13,14 ST,"(40.84386300128381, -73.83632199755944)",36005026602
14,14 ST-UNION SQ,"(40.66476678877493, -73.92252118536001)",36047090000
15,145 ST,"(40.706889998054, -73.95348800038457)",36047052900
16,149/GRAND CONC,"(40.665517963059635, -73.88940491730106)",36047112400
17,14TH STREET,"(40.706889998054, -73.95348800038457)",36047052900
18,15 ST-PROSPECT,"(40.57631166708091, -73.96850099975177)",36047036200
19,155 ST,"(40.77003699949086, -73.91809500109238)",36081012500
20,157 ST,"(40.81322399958908, -73.92984899935611)",36005005100
21,161/YANKEE STAD,"(40.81830344372315, -73.9273847542618)",36005005100
22,163 ST-AMSTERDM,"(40.60773573171741, -74.00159259239406)",36047027800
23,167 ST,"(40.83376899862797, -73.91843200082253)",36005019700
24,168 ST,"(40.77551939729258, -73.976336575218)",36061014300
25,169 ST,"(40.78582304678557, -73.96882849429672)",36061014300
26,170 ST,"(40.7441286664954, -73.9495999997552)",36081000700
27,174 ST,"(40.65046878544699, -73.89954769388724)",36047109800
28,174-175 STS,"(40.84589999983414, -73.91013600050078)",36005022901
29,175 ST,"(40.8340410001399, -73.94488999901047)",36061024100
30,176 ST,"(40.70739106438455, -73.93979284713505)",36047049300
31,18 AV,"(40.84443400092679, -73.9146849986034)",36005022702
32,18 ST,"(40.77551939729258, -73.976336575218)",36061014300
33,181 ST,"(40.75276306140845, -73.93285137679598)",36081003100
34,182-183 STS,"(40.85609299881864, -73.90074099998965)",36005038301
35,183 ST,"(40.61315892569516, -74.00058287431507)",36047026400
36,190 ST,"(40.617108999866005, -73.98452199846113)",36047025400
37,191 ST,"(40.82655099962194, -73.95035999879713)",36061022900
38,2 AV,"(40.84007499993004, -73.91779099745928)",36005022101
39,20 AV,"(40.87456099941789, -73.90983099923551)",36061030900
40,207 ST,"(40.746867573829114, -73.8912051289911)",36081026700
41,21 ST,"(40.73126699971465, -73.95442500146235)",36047057500
42,21 ST-QNSBRIDGE,"(40.73126699971465, -73.95442500146235)",36047057500
43,215 ST,"(40.746324999410284, -73.8964029993185)",36081026300
44,219 ST,"(40.70369299961644, -73.91823200219723)",36047044300
45,225 ST,"(40.699471062427136, -73.9109757182647)",36047043900
46,23 ST,"(40.88466700064975, -73.90087000018522)",36005028300
47,231 ST,"(40.691290001246735, -73.86728799944963)",36081000400
