G1,G2,G3,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,absences,failures,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other
1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,18,4,4,2,2,4,3,4,1,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,17,1,1,1,2,5,3,3,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,15,1,1,1,2,4,3,2,2,3,3,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0
0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,15,4,2,1,3,3,2,2,1,1,5,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,16,3,3,1,2,4,3,2,1,2,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,16,4,3,1,2,5,4,2,1,2,5,6,0,0,0,1,0,0,1,0,0,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,16,2,2,1,2,4,4,4,1,1,3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,17,4,4,2,2,4,1,4,1,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,1,0
0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,15,3,2,1,2,4,2,2,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,15,3,4,1,2,5,5,1,1,1,5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,15,4,4,1,2,3,3,3,1,2,2,2,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,15,2,1,3,3,5,2,2,1,1,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,15,4,4,1,1,4,3,3,1,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,15,4,3,2,2,5,4,3,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,15,2,2,1,3,4,5,2,1,1,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,16,4,4,1,1,4,4,4,1,2,2,6,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,16,4,4,1,3,3,2,3,1,2,2,10,0,0,0,1,0,0,0,1,0,0,0,1,1,0
0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,16,3,3,3,2,5,3,2,1,1,4,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0
1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,17,3,2,1,1,5,5,5,2,4,5,2,3,0,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,16,4,3,1,1,3,1,3,1,3,5,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,15,4,3,1,2,4,4,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,15,4,4,1,1,5,4,2,1,1,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,16,4,2,1,2,4,5,1,1,3,5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,16,2,2,2,2,5,4,4,2,4,5,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,15,2,4,1,3,4,3,2,1,1,5,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,16,2,2,1,1,1,2,2,1,3,5,6,0,0,0,1,0,0,0,1,0,1,0,0,1,0
0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,15,2,2,1,1,4,2,2,1,2,5,8,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,15,4,2,1,1,2,2,4,2,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,16,3,4,1,2,5,3,3,1,1,5,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0
0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,16,4,4,1,2,4,4,5,5,5,5,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0
0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,15,4,4,1,2,5,4,2,3,4,5,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,15,4,4,2,2,4,3,1,1,1,5,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0
